pair_id,event_contract,expiration_date,quantity,yes_price,no_price,pair_time
C5B2B9SMC07Q,UHLAX_082826_85,2026-08-29T03:00:00-05:00,100,0.23,0.77,2026-08-28T16:15:27.044248285-05:00
C5B2B9SMT07Q,UHLAX_082826_85,2026-08-29T03:00:00-05:00,5,0.20,0.80,2026-08-28T16:15:31.896827461-05:00
C5B2B9ST807Q,UHSFO_082826_67,2026-08-29T03:00:00-05:00,105,0.29,0.71,2026-08-28T16:15:39.359211001-05:00
C5B2B9T3R07Q,UHLAX_082826_88,2026-08-29T03:00:00-05:00,200,0.04,0.96,2026-08-28T16:16:28.417052058-05:00
C5B2B9T6C07Q,UHLAX_082826_85,2026-08-29T03:00:00-05:00,3,0.20,0.80,2026-08-28T16:16:32.886113226-05:00
C5B2B9TF207Q,UHLAX_082826_88,2026-08-29T03:00:00-05:00,10,0.04,0.96,2026-08-28T16:16:43.060095244-05:00
C5B2B9TJC07Q,UHLAX_082826_88,2026-08-29T03:00:00-05:00,297,0.13,0.87,2026-08-28T16:16:48.535910352-05:00
C5B2B9TMM07Q,UHSFO_082826_66,2026-08-29T03:00:00-05:00,40,0.21,0.79,2026-08-28T16:16:48.98357282-05:00
C5B2B9TNC07Q,UHLAX_082826_88,2026-08-29T03:00:00-05:00,590,0.04,0.96,2026-08-28T16:16:50.3093051-05:00
C5B2B9TPY07Q,UHSFO_082826_68,2026-08-29T03:00:00-05:00,10,0.03,0.97,2026-08-28T16:16:52.095519488-05:00
C5B2B9V5607Q,UHSFO_082826_66,2026-08-29T03:00:00-05:00,100,0.14,0.86,2026-08-28T16:17:04.542932965-05:00
C5B2B9VBG07Q,UHLAX_082826_85,2026-08-29T03:00:00-05:00,100,0.16,0.84,2026-08-28T16:17:21.554416094-05:00
C5B2B9VCP07Q,UHSFO_082826_67,2026-08-29T03:00:00-05:00,45,0.13,0.87,2026-08-28T16:17:24.970256467-05:00
C5B2B9VEP07Q,UHOKC_082826_99,2026-08-29T01:00:00-05:00,10,0.12,0.88,2026-08-28T16:17:28.966412704-05:00
C5B2B9VKJ07Q,UHLAX_082826_90,2026-08-29T03:00:00-05:00,233,0.03,0.97,2026-08-28T16:17:47.519551902-05:00
C5B2B9VP807Q,UHOKC_082826_100,2026-08-29T01:00:00-05:00,10,0.02,0.98,2026-08-28T16:17:54.964444465-05:00
C5B2B9VTA07Q,UHLAX_082826_85,2026-08-29T03:00:00-05:00,97,0.05,0.95,2026-08-28T16:18:03.573447692-05:00
C5B2B9VW007Q,UHPHX_082826_109,2026-08-29T03:00:00-05:00,100,0.79,0.21,2026-08-28T16:18:05.649201363-05:00
C5B2B9VWE07Q,UHSFO_082826_67,2026-08-29T03:00:00-05:00,10,0.11,0.89,2026-08-28T16:18:06.530873392-05:00
C5B2B9VXC07Q,UHSFO_082826_67,2026-08-29T03:00:00-05:00,38,0.11,0.89,2026-08-28T16:18:10.160967107-05:00
C5B2B9VYM07Q,UHPHX_082826_109,2026-08-29T03:00:00-05:00,4,0.79,0.21,2026-08-28T16:18:14.347501069-05:00
C5B2B9VZY07Q,UHLAX_082826_86,2026-08-29T03:00:00-05:00,16,0.08,0.92,2026-08-28T16:18:16.857362263-05:00
C5B2B9W0407Q,UHLAX_082826_86,2026-08-29T03:00:00-05:00,2,0.08,0.92,2026-08-28T16:18:16.857362263-05:00
C5B2B9W3807Q,UHLAX_082826_86,2026-08-29T03:00:00-05:00,34,0.27,0.73,2026-08-28T16:18:23.935105078-05:00
C5B2B9W7M07Q,ULDCA_082926_71,2026-08-30T00:00:00-05:00,5,0.70,0.30,2026-08-28T16:18:33.252915251-05:00
C5B2B9W9007Q,UHLGA_082826_84,2026-08-29T00:00:00-05:00,176,0.02,0.98,2026-08-28T16:18:42.06598387-05:00
C5B2B9XZ207Q,ULSEA_082826_58,2026-08-29T03:00:00-05:00,285,0.04,0.96,2026-08-28T16:18:53.686194893-05:00
C5B2BA1K207Q,UHBKF_082826_93,2026-08-29T02:00:00-05:00,20,0.26,0.74,2026-08-28T16:18:58.412150201-05:00
C5B2BA1KC07Q,UHBKF_082826_93,2026-08-29T02:00:00-05:00,10,0.26,0.74,2026-08-28T16:18:58.412672977-05:00
C5B2BA2BG07Q,UHBKF_082826_93,2026-08-29T02:00:00-05:00,20,0.19,0.81,2026-08-28T16:18:59.331711866-05:00
C5B2BA2ZY07Q,UHBKF_082826_93,2026-08-29T02:00:00-05:00,20,0.19,0.81,2026-08-28T16:19:00.149083231-05:00
C5B2BAA9P07Q,UHMIA_082926_89,2026-08-30T00:00:00-05:00,10,0.85,0.15,2026-08-28T16:19:10.318264039-05:00
C5B31KY9607Q,UHSFO_082826_65,2026-08-29T03:00:00-05:00,19,0.51,0.49,2026-08-28T16:19:11.921620947-05:00
C5B31M4VM07Q,CFBTC_08292616_78000,2026-08-29T16:00:00-05:00,10,0.29,0.71,2026-08-28T16:19:20.231536236-05:00
C5B31M4W207Q,CFBTC_08292616_76500,2026-08-29T16:00:00-05:00,6,0.72,0.28,2026-08-28T16:19:20.249217698-05:00
C5B31M5HW07Q,UHLAX_082826_89,2026-08-29T03:00:00-05:00,11,0.03,0.97,2026-08-28T16:19:20.932468081-05:00
C5B31M5J207Q,UHLAX_082826_89,2026-08-29T03:00:00-05:00,13,0.03,0.97,2026-08-28T16:19:20.932468081-05:00
C5B31M6KP07Q,UHLAS_082826_105,2026-08-29T03:00:00-05:00,100,0.37,0.63,2026-08-28T16:19:22.61596585-05:00
C5B31M7AG07Q,UHMDW_082826_82,2026-08-29T01:00:00-05:00,100,0.27,0.73,2026-08-28T16:19:23.826705593-05:00
C5B31M81J07Q,UHMIA_082926_88,2026-08-30T00:00:00-05:00,10,0.77,0.23,2026-08-28T16:19:24.563353085-05:00
C5B31M81W07Q,UHMIA_082926_89,2026-08-30T00:00:00-05:00,10,0.79,0.21,2026-08-28T16:19:24.565315287-05:00
C5B31M9W407Q,UHLGA_082826_85,2026-08-29T00:00:00-05:00,4,0.19,0.81,2026-08-28T16:19:29.808664219-05:00
C5B31MAZ607Q,ULDCA_082926_70,2026-08-30T00:00:00-05:00,2,0.48,0.52,2026-08-28T16:19:32.545461642-05:00
C5B31MCAR07Q,UHSFO_082826_65,2026-08-29T03:00:00-05:00,19,0.51,0.49,2026-08-28T16:19:35.562242223-05:00
C5B31MCYT07Q,UHDFW_082826_100,2026-08-29T01:00:00-05:00,10,0.80,0.20,2026-08-28T16:19:37.27168552-05:00
C5B31MD1J07Q,UHLGA_082826_84,2026-08-29T00:00:00-05:00,7,0.12,0.88,2026-08-28T16:19:37.839256637-05:00
